frame,timestamp,person_id,x,y,z
-1,2025/11/28-20:22:9:690,Keiji,-2430.0,-423.0,10.0
-1,2025/11/28-20:22:9:704,koko,-1829.0,-439.0,10.0
-1,2025/11/28-20:22:9:704,Amelia,-2336.081128,-876.673273,10.0
-1,2025/11/28-20:22:9:704,ZakariYoung,-2251.347576,-824.192339,12.0
-1,2025/11/28-20:22:9:704,Keiji,-2430.0,-423.0,10.0
-1,2025/11/28-20:22:9:726,koko,-1829.0,-439.0,10.0
-1,2025/11/28-20:22:9:726,Amelia,-2337.597797,-875.462008,10.0
-1,2025/11/28-20:22:9:726,ZakariYoung,-2251.870055,-823.966811,12.0
-1,2025/11/28-20:22:9:726,Keiji,-2430.0,-423.0,10.0
-1,2025/11/28-20:22:9:808,koko,-1829.0,-439.0,10.0
-1,2025/11/28-20:22:9:808,Amelia,-2343.149247,-871.160869,10.0
-1,2025/11/28-20:22:9:808,ZakariYoung,-2253.73187,-823.042671,12.0
-1,2025/11/28-20:22:9:808,Keiji,-2430.0,-423.0,10.0
-1,2025/11/28-20:22:9:907,koko,-1829.0,-439.0,10.0
-1,2025/11/28-20:22:9:907,Amelia,-2349.674499,-866.490318,10.0
-1,2025/11/28-20:22:9:907,ZakariYoung,-2256.04997,-821.750515,12.0
-1,2025/11/28-20:22:9:907,Keiji,-2430.0,-423.0,10.0
-1,2025/11/28-20:22:10:197,koko,-1829.0,-439.0,10.0
-1,2025/11/28-20:22:10:197,Amelia,-2366.70914,-858.162613,10.0
-1,2025/11/28-20:22:10:197,ZakariYoung,-2266.318278,-817.118922,12.0
-1,2025/11/28-20:22:10:197,Keiji,-2430.0,-423.0,10.0
-1,2025/11/28-20:22:10:346,koko,-1829.0,-439.0,10.0
-1,2025/11/28-20:22:10:346,Amelia,-2375.215777,-855.647502,10.0
-1,2025/11/28-20:22:10:346,ZakariYoung,-2274.521199,-814.041578,12.0
-1,2025/11/28-20:22:10:346,Keiji,-2430.0,-423.0,10.0
-1,2025/11/28-20:22:10:360,koko,-1829.0,-439.0,10.0
-1,2025/11/28-20:22:10:360,Amelia,-2376.027465,-855.415043,10.0
-1,2025/11/28-20:22:10:360,ZakariYoung,-2275.373076,-813.726029,12.0
-1,2025/11/28-20:22:10:360,Keiji,-2430.0,-423.0,10.0
-1,2025/11/28-20:22:10:384,koko,-1829.0,-439.0,10.0
-1,2025/11/28-20:22:10:384,Amelia,-2377.433981,-855.014912,10.0
-1,2025/11/28-20:22:10:384,ZakariYoung,-2276.877233,-813.170853,12.0
-1,2025/11/28-20:22:10:384,Keiji,-2430.0,-423.0,10.0
-1,2025/11/28-20:22:10:472,koko,-1829.0,-439.0,10.0
-1,2025/11/28-20:22:10:472,Amelia,-2382.528538,-853.591735,10.0
-1,2025/11/28-20:22:10:472,ZakariYoung,-2282.626021,-811.073408,12.0
-1,2025/11/28-20:22:10:472,Keiji,-2430.0,-423.0,10.0
-1,2025/11/28-20:22:10:753,koko,-1829.0,-439.0,10.0
-1,2025/11/28-20:22:10:753,Amelia,-2397.863834,-849.509594,10.0
-1,2025/11/28-20:22:10:753,ZakariYoung,-2303.21808,-803.924661,12.0
-1,2025/11/28-20:22:10:753,Keiji,-2430.0,-423.0,10.0
-1,2025/11/28-20:22:10:928,koko,-1829.0,-439.0,10.0
-1,2025/11/28-20:22:10:928,Amelia,-2405.876249,-847.475762,10.0
-1,2025/11/28-20:22:10:928,ZakariYoung,-2316.98875,-799.538053,12.0
-1,2025/11/28-20:22:10:928,Keiji,-2430.0,-423.0,10.0
-1,2025/11/28-20:22:10:940,koko,-1829.0,-439.0,10.0
-1,2025/11/28-20:22:10:940,Amelia,-2406.377731,-847.350534,10.0
-1,2025/11/28-20:22:10:940,ZakariYoung,-2317.971774,-799.239833,12.0
-1,2025/11/28-20:22:10:940,Keiji,-2430.0,-423.0,10.0
-1,2025/11/28-20:22:10:967,koko,-1829.0,-439.0,10.0
-1,2025/11/28-20:22:10:967,Amelia,-2407.397821,-847.096555,10.0
-1,2025/11/28-20:22:10:967,ZakariYoung,-2320.034762,-798.621258,12.0
-1,2025/11/28-20:22:10:967,Keiji,-2430.0,-423.0,10.0
-1,2025/11/28-20:22:11:56,koko,-1829.0,-439.0,10.0
-1,2025/11/28-20:22:11:56,Amelia,-2410.516406,-846.326518,10.0
-1,2025/11/28-20:22:11:56,ZakariYoung,-2327.035747,-796.601713,12.0
-1,2025/11/28-20:22:11:56,Keiji,-2430.0,-423.0,10.0
-1,2025/11/28-20:22:11:328,koko,-1829.0,-439.0,10.0
-1,2025/11/28-20:22:11:328,Amelia,-2415.841887,-845.037479,10.0
-1,2025/11/28-20:22:11:328,ZakariYoung,-2347.38995,-791.667068,12.0
-1,2025/11/28-20:22:11:328,Keiji,-2430.0,-423.0,10.0
-1,2025/11/28-20:22:11:487,koko,-1829.0,-439.0,10.0
-1,2025/11/28-20:22:11:487,Amelia,-2416.0,-845.0,10.0
-1,2025/11/28-20:22:11:487,ZakariYoung,-2358.120948,-789.762278,12.0
-1,2025/11/28-20:22:11:487,Keiji,-2430.0,-423.0,10.0
-1,2025/11/28-20:22:11:499,koko,-1829.0,-439.0,10.0
